,0
0,0.0005000020946740888
1,0.0005000058425407251
2,0.0005000058425407251
3,0.0005000020946740888
4,0.0005000058425407251
5,0.0005000058425407251
6,0.0005000020946740888
7,0.0005000058425407251
8,0.0005000020946740888
9,0.0005000020946740888
10,0.0005000271263423879
11,0.0005000020946740888
12,0.0005000020946740888
13,0.0005000020946740888
14,0.0005000020946740888
15,0.0005000058425407251
16,0.0005000020946740888
17,0.0005000058425407251
18,0.0005000058425407251
19,0.0005000058425407251
20,0.0005000058425407251
21,0.0005000020946740888
22,0.0005000020946740888
23,0.0005000020946740888
24,0.0005000058425407251
25,0.0005000020946740888
26,0.0005000058425407251
27,0.0005000058425407251
28,0.0005000020946740888
29,0.0005000020946740888
30,0.0005000020946740888
31,0.0005000058425407251
32,0.0005000020946740888
33,0.0005000271263423879
34,0.0005000020946740888
35,0.0005000058425407251
36,0.0005000020946740888
37,0.0005000020946740888
38,0.0005000271263423879
39,0.0005000020946740888
40,0.0005000271263423879
41,0.0005000020946740888
42,0.0005000058425407251
43,0.0005000058425407251
44,0.0005000020946740888
45,0.0005000058425407251
46,0.0005000020946740888
47,0.0005000020946740888
48,0.0005000058425407251
49,0.0005000020946740888
50,0.0005000020946740888
51,0.0005000020946740888
52,0.0005000020946740888
53,0.0005000020946740888
54,0.0005000058425407251
55,0.0005000020946740888
56,0.0005000020946740888
57,0.0005000435192488249
58,0.0005000058425407251
59,0.0005000020946740888
60,0.0005000058425407251
61,0.0005000058425407251
62,0.0005000020946740888
63,0.0005000020946740888
64,0.0005000020946740888
65,0.0005000020946740888
66,0.0005000058425407251
67,0.0005000020946740888
68,0.0005000435192488249
69,0.0005000020946740888
70,0.0005000020946740888
71,0.0005000271263423879
72,0.0005000020946740888
73,0.0005000020946740888
74,0.0005000020946740888
75,0.0005001553411911102
76,0.0005000058425407251
77,0.0005000271263423879
78,0.0005000271263423879
79,0.0005000020946740888
80,0.0005000020946740888
81,0.0005000020946740888
82,0.0005000271263423879
83,0.0005000020946740888
84,0.0005000869948657867
85,0.0005000058425407251
86,0.0005000020946740888
87,0.0005000058425407251
88,0.0005000058425407251
89,0.0005000271263423879
90,0.0005000020946740888
91,0.0005000020946740888
92,0.0005000020946740888
93,0.0005000020946740888
94,0.0005000271263423879
95,0.0005000020946740888
96,0.0005001553411911102
97,0.0005000271263423879
98,0.0005000058425407251
